title,date,venue,price,link,date_and_time,location,artists
LLNN + Sugar Horse,dim. 4 févr.,Glazart,"19,38 €",https://dice.fm/event/e86m2-llnn-sugar-horse-4th-feb-glazart-paris-tickets,"dim. 4 févr., 19:00","7 Avenue de la Porte de la Villette, 75019 Paris, France","Sugar Horse, LLNN"
Cobrah,dim. 4 févr.,La Gaité Lyrique,"24,69 €",https://dice.fm/event/3x9dg-cobrah-4th-feb-la-gait-lyrique-paris-tickets,"dim. 4 févr., 19:30","3bis Rue Papin, 75003 Paris, France",COBRAH
St Graal,lun. 5 févr.,La Boule Noire,25 €,https://dice.fm/event/pb76k-st-graal-5th-feb-la-boule-noire-paris-tickets,"lun. 5 févr., 19:30","120 Boulevard de Rochechouart, 75018 Paris, France",St Graal
Kiefer,lun. 5 févr.,Point Ephémère,"19,08 €",https://dice.fm/event/odnva-kiefer-5th-feb-point-ephmre-paris-tickets,"lun. 5 févr., 20:00","200 Quai de Valmy, 75010 Paris-10E-Arrondissement, France",Kiefer
Brothertiger + La Nuit Américaine + Kenta FC,mar. 6 févr.,Supersonic,Gratuit,https://dice.fm/event/xo9ra-brothertiger-la-nuit-amricaine-kenta-fc-6th-feb-supersonic-paris-tickets,"mar. 6 févr., 19:00","9 Rue Biscornet, 75012 Paris, France","Kenta FC, La Nuit Américaine, Brothertiger"
Jon Onj,mar. 6 févr.,La Boule Noire,"13,26 €",https://dice.fm/event/pbeyw-jon-onj-6th-feb-la-boule-noire-paris-tickets,"mar. 6 févr., 19:30","120 Boulevard de Rochechouart, 75018 Paris, France","Jon onj, Sir Romy"
chien noir,mar. 6 févr.,La Cigale,30 €,https://dice.fm/event/pnqly-chien-noir-6th-feb-la-cigale-paris-tickets,"mar. 6 févr., 20:00","120 Boulevard de Rochechouart, 75018 Paris, France",Chien Noir
Grentperez,mar. 6 févr.,Point Ephémère,"17,96 €",https://dice.fm/event/2kggo-grentperez-6th-feb-point-ephmre-paris-tickets,"mar. 6 févr., 20:00","200 Quai de Valmy, 75010 Paris-10E-Arrondissement, France",grentperez
Youn Sun Nah,mar. 6 févr.,L'Avant-Seine / Théâtre de Colombes,"35,84 €",https://dice.fm/event/ova6y-youn-sun-nah-6th-feb-lavant-seine-thtre-de-colombes-paris-tickets,"mar. 6 févr., 20:00","88 Rue Saint-Denis, 92700 Colombes, France",Youn Sun Nah 5tet
Souffrance,mer. 7 févr.,La Cigale,"26,50 €",https://dice.fm/event/7gvv9-souffrance-7th-feb-la-cigale-paris-tickets,"mer. 7 févr., 19:00","120 Boulevard de Rochechouart, 75018 Paris, France",Souffrance
Harsh Symmetry + Crush of Souls,mer. 7 févr.,Supersonic Records,15 €,https://dice.fm/event/oabvy-harsh-symmetry-crush-of-souls-7th-feb-supersonic-records-paris-tickets,"mer. 7 févr., 19:00","9 Rue Biscornet, 75012 Paris, France","Crush of Souls, Harsh Symmetry"
Annie Taylor + Delilah's Dance,mer. 7 févr.,Supersonic,Gratuit,https://dice.fm/event/gq9b6-annie-taylor-delilahs-dance-7th-feb-supersonic-paris-tickets,"mer. 7 févr., 19:00","9 Rue Biscornet, 75012 Paris, France","Fools Affection, Delilah's Dance, Annie Taylor"
Tim Bernardes,mer. 7 févr.,Le Trianon,"29,60 €",https://dice.fm/event/37q6p-tim-bernardes-7th-feb-le-trianon-paris-tickets,"mer. 7 févr., 19:30","80 Boulevard de Rochechouart, 75018 Paris, France",Tim Bernardes
Molécule,mer. 7 févr.,L'Olympia,"À partir de 36,30 €",https://dice.fm/event/p5axk-molcule-7th-feb-lolympia-paris-tickets,"mer. 7 févr., 20:00","28 Boulevard des Capucines, 75009 Paris, France",Molécule
Brutalismus 3000,mer. 7 févr.,Casino de Paris,"À partir de 35,02 €",https://dice.fm/event/n5g59-brutalismus-3000-7th-feb-casino-de-paris-paris-tickets,"mer. 7 févr., 20:00","16 Rue de Clichy, 75009 Paris, France",Brutalismus 3000
LOUVE,mer. 7 févr.,La Boule Noire,16 €,https://dice.fm/event/nd77l-louve-7th-feb-la-boule-noire-paris-tickets,"mer. 7 févr., 20:00","120 Boulevard de Rochechouart, 75018 Paris, France",Louve
NILS HOFFMANN,mer. 7 févr.,Point Ephémère,"20,16 €",https://dice.fm/event/a57v2-nils-hoffmann-7th-feb-point-ephmre-paris-tickets,"mer. 7 févr., 20:00","200 Quai de Valmy, 75010 Paris-10E-Arrondissement, France",Nils Hoffmann
Ric Wilson,mer. 7 févr.,Le Hasard Ludique,"15,71 €",https://dice.fm/event/6a3lq-ric-wilson-7th-feb-le-hasard-ludique-paris-tickets,"mer. 7 févr., 20:00","128 Avenue de Saint-Ouen, 75018 Paris, France","Première partie, Ric Wilson"
Release Party Kcidy,mer. 7 févr.,Petit Bain,15 €,https://dice.fm/event/mg6kr-release-party-kcidy-7th-feb-petit-bain-paris-tickets,"mer. 7 févr., 20:00","7 Port de la Gare, 75013 Paris, France",KCIDY
Sauvan,jeu. 8 févr.,La Cigale,"À partir de 26,48 €",https://dice.fm/event/k9mop-sauvan-8th-feb-la-cigale-paris-tickets,"jeu. 8 févr., 19:00","120 Boulevard de Rochechouart, 75018 Paris, France","Première Partie, Sauvan"
Dave Hause + Will Hoge,jeu. 8 févr.,Supersonic Records,"13,50 €",https://dice.fm/event/od5lg-dave-hause-will-hoge-8th-feb-supersonic-records-paris-tickets,"jeu. 8 févr., 19:00","9 Rue Biscornet, 75012 Paris, France","Will Hoge, Dave Hause"
Meagre Martin + Spaghetti Kiss + Prune 99,jeu. 8 févr.,L'international,8 €,https://dice.fm/event/5p9vw-meagre-martin-spaghetti-kiss-prune-99-8th-feb-linternational-paris-tickets,"jeu. 8 févr., 19:00","5 Rue Moret, 75011 Paris, France",
Miira,jeu. 8 févr.,La Boule Noire,"16,94 €",https://dice.fm/event/b2l6v-miira-8th-feb-la-boule-noire-paris-tickets,"jeu. 8 févr., 19:30","120 Boulevard de Rochechouart, 75018 Paris, France",Miira
Oscar les vacances,jeu. 8 févr.,Le Café de la Danse,"16,50 €",https://dice.fm/event/odrrg-oscar-les-vacances-8th-feb-le-caf-de-la-danse-paris-tickets,"jeu. 8 févr., 19:30","5 Passage Louis-Philippe, 75011 Paris, France",Oscar les vacances
"Adrian Clarck Trio : ""Let’s dance""",jeu. 8 févr.,Péniche Marcounet,"16,48 €",https://dice.fm/event/o7w7m-adrian-clarck-trio-lets-dance-8th-feb-pniche-marcounet-paris-tickets,"jeu. 8 févr., 20:00 UTC+1","Port de l'Hotel de Ville, Paris 75004",
The Big Idea + Wysteria,jeu. 8 févr.,Point Ephémère,"15,68 €",https://dice.fm/event/6ardq-the-big-idea-wysteria-8th-feb-point-ephmre-paris-tickets,"jeu. 8 févr., 20:00","200 Quai de Valmy, 75010 Paris-10E-Arrondissement, France",The Big Idea
Sokuu,jeu. 8 févr.,La Maroquinerie,24 €,https://dice.fm/event/wroex-sokuu-8th-feb-la-maroquinerie-paris-tickets,"jeu. 8 févr., 20:00","23 Rue Boyer, 75020 Paris, France",Sokuu
Elliott Armen,jeu. 8 févr.,Le Hasard Ludique,13 €,https://dice.fm/event/mdew9-elliott-armen-8th-feb-le-hasard-ludique-paris-tickets,"jeu. 8 févr., 20:00","128 Avenue de Saint-Ouen, 75018 Paris, France",Elliott Armen
Gingerella + Chéri Chéri,ven. 9 févr.,Supersonic,Gratuit,https://dice.fm/event/yx9q2-gingerella-chri-chri-9th-feb-supersonic-paris-tickets,"ven. 9 févr., 19:00","9 Rue Biscornet, 75012 Paris, France","Chéri Chéri, Gingerella"
She Past Away et Sad Madona,ven. 9 févr.,La Marbrerie,"28,50 €",https://dice.fm/event/wdbkr-she-past-away-et-sad-madona-9th-feb-la-marbrerie-paris-tickets,"ven. 9 févr., 19:00","21 Rue Alexis Lepere, 93100 Montreuil, France","Sad Madona, She Past Away"
chien noir,mar. 6 févr.,La Cigale,30 €,https://dice.fm/event/pnqly-chien-noir-6th-feb-la-cigale-paris-tickets,"mar. 6 févr., 20:00","120 Boulevard de Rochechouart, 75018 Paris, France",Chien Noir
Grentperez,mar. 6 févr.,Point Ephémère,"17,96 €",https://dice.fm/event/2kggo-grentperez-6th-feb-point-ephmre-paris-tickets,"mar. 6 févr., 20:00","200 Quai de Valmy, 75010 Paris-10E-Arrondissement, France",grentperez
Youn Sun Nah,mar. 6 févr.,L'Avant-Seine / Théâtre de Colombes,"35,84 €",https://dice.fm/event/ova6y-youn-sun-nah-6th-feb-lavant-seine-thtre-de-colombes-paris-tickets,"mar. 6 févr., 20:00","88 Rue Saint-Denis, 92700 Colombes, France",Youn Sun Nah 5tet
Souffrance,mer. 7 févr.,La Cigale,"26,50 €",https://dice.fm/event/7gvv9-souffrance-7th-feb-la-cigale-paris-tickets,"mer. 7 févr., 19:00","120 Boulevard de Rochechouart, 75018 Paris, France",Souffrance
Harsh Symmetry + Crush of Souls,mer. 7 févr.,Supersonic Records,15 €,https://dice.fm/event/oabvy-harsh-symmetry-crush-of-souls-7th-feb-supersonic-records-paris-tickets,"mer. 7 févr., 19:00","9 Rue Biscornet, 75012 Paris, France","Crush of Souls, Harsh Symmetry"
Annie Taylor + Delilah's Dance,mer. 7 févr.,Supersonic,Gratuit,https://dice.fm/event/gq9b6-annie-taylor-delilahs-dance-7th-feb-supersonic-paris-tickets,"mer. 7 févr., 19:00","9 Rue Biscornet, 75012 Paris, France","Fools Affection, Delilah's Dance, Annie Taylor"
Tim Bernardes,mer. 7 févr.,Le Trianon,"29,60 €",https://dice.fm/event/37q6p-tim-bernardes-7th-feb-le-trianon-paris-tickets,"mer. 7 févr., 19:30","80 Boulevard de Rochechouart, 75018 Paris, France",Tim Bernardes
Molécule,mer. 7 févr.,L'Olympia,"À partir de 36,30 €",https://dice.fm/event/p5axk-molcule-7th-feb-lolympia-paris-tickets,"mer. 7 févr., 20:00","28 Boulevard des Capucines, 75009 Paris, France",Molécule
Brutalismus 3000,mer. 7 févr.,Casino de Paris,"À partir de 35,02 €",https://dice.fm/event/n5g59-brutalismus-3000-7th-feb-casino-de-paris-paris-tickets,"mer. 7 févr., 20:00","16 Rue de Clichy, 75009 Paris, France",Brutalismus 3000
LOUVE,mer. 7 févr.,La Boule Noire,16 €,https://dice.fm/event/nd77l-louve-7th-feb-la-boule-noire-paris-tickets,"mer. 7 févr., 20:00","120 Boulevard de Rochechouart, 75018 Paris, France",Louve
NILS HOFFMANN,mer. 7 févr.,Point Ephémère,"20,16 €",https://dice.fm/event/a57v2-nils-hoffmann-7th-feb-point-ephmre-paris-tickets,"mer. 7 févr., 20:00","200 Quai de Valmy, 75010 Paris-10E-Arrondissement, France",Nils Hoffmann
Ric Wilson,mer. 7 févr.,Le Hasard Ludique,"15,71 €",https://dice.fm/event/6a3lq-ric-wilson-7th-feb-le-hasard-ludique-paris-tickets,"mer. 7 févr., 20:00","128 Avenue de Saint-Ouen, 75018 Paris, France","Première partie, Ric Wilson"
Release Party Kcidy,mer. 7 févr.,Petit Bain,15 €,https://dice.fm/event/mg6kr-release-party-kcidy-7th-feb-petit-bain-paris-tickets,"mer. 7 févr., 20:00","7 Port de la Gare, 75013 Paris, France",KCIDY
Sauvan,jeu. 8 févr.,La Cigale,"À partir de 26,48 €",https://dice.fm/event/k9mop-sauvan-8th-feb-la-cigale-paris-tickets,"jeu. 8 févr., 19:00","120 Boulevard de Rochechouart, 75018 Paris, France","Première Partie, Sauvan"
Dave Hause + Will Hoge,jeu. 8 févr.,Supersonic Records,"13,50 €",https://dice.fm/event/od5lg-dave-hause-will-hoge-8th-feb-supersonic-records-paris-tickets,"jeu. 8 févr., 19:00","9 Rue Biscornet, 75012 Paris, France","Will Hoge, Dave Hause"
Meagre Martin + Spaghetti Kiss + Prune 99,jeu. 8 févr.,L'international,8 €,https://dice.fm/event/5p9vw-meagre-martin-spaghetti-kiss-prune-99-8th-feb-linternational-paris-tickets,"jeu. 8 févr., 19:00","5 Rue Moret, 75011 Paris, France",
Miira,jeu. 8 févr.,La Boule Noire,"16,94 €",https://dice.fm/event/b2l6v-miira-8th-feb-la-boule-noire-paris-tickets,"jeu. 8 févr., 19:30","120 Boulevard de Rochechouart, 75018 Paris, France",Miira
Oscar les vacances,jeu. 8 févr.,Le Café de la Danse,"16,50 €",https://dice.fm/event/odrrg-oscar-les-vacances-8th-feb-le-caf-de-la-danse-paris-tickets,"jeu. 8 févr., 19:30","5 Passage Louis-Philippe, 75011 Paris, France",Oscar les vacances
"Adrian Clarck Trio : ""Let’s dance""",jeu. 8 févr.,Péniche Marcounet,"16,48 €",https://dice.fm/event/o7w7m-adrian-clarck-trio-lets-dance-8th-feb-pniche-marcounet-paris-tickets,"jeu. 8 févr., 20:00 UTC+1","Port de l'Hotel de Ville, Paris 75004",
The Big Idea + Wysteria,jeu. 8 févr.,Point Ephémère,"15,68 €",https://dice.fm/event/6ardq-the-big-idea-wysteria-8th-feb-point-ephmre-paris-tickets,"jeu. 8 févr., 20:00","200 Quai de Valmy, 75010 Paris-10E-Arrondissement, France",The Big Idea
Sokuu,jeu. 8 févr.,La Maroquinerie,24 €,https://dice.fm/event/wroex-sokuu-8th-feb-la-maroquinerie-paris-tickets,"jeu. 8 févr., 20:00","23 Rue Boyer, 75020 Paris, France",Sokuu
Elliott Armen,jeu. 8 févr.,Le Hasard Ludique,13 €,https://dice.fm/event/mdew9-elliott-armen-8th-feb-le-hasard-ludique-paris-tickets,"jeu. 8 févr., 20:00","128 Avenue de Saint-Ouen, 75018 Paris, France",Elliott Armen
Gingerella + Chéri Chéri,ven. 9 févr.,Supersonic,Gratuit,https://dice.fm/event/yx9q2-gingerella-chri-chri-9th-feb-supersonic-paris-tickets,"ven. 9 févr., 19:00","9 Rue Biscornet, 75012 Paris, France","Chéri Chéri, Gingerella"
She Past Away et Sad Madona,ven. 9 févr.,La Marbrerie,"28,50 €",https://dice.fm/event/wdbkr-she-past-away-et-sad-madona-9th-feb-la-marbrerie-paris-tickets,"ven. 9 févr., 19:00","21 Rue Alexis Lepere, 93100 Montreuil, France","Sad Madona, She Past Away"
chien noir,mar. 6 févr.,La Cigale,30 €,https://dice.fm/event/pnqly-chien-noir-6th-feb-la-cigale-paris-tickets,"mar. 6 févr., 20:00","120 Boulevard de Rochechouart, 75018 Paris, France",Chien Noir
Grentperez,mar. 6 févr.,Point Ephémère,"17,96 €",https://dice.fm/event/2kggo-grentperez-6th-feb-point-ephmre-paris-tickets,"mar. 6 févr., 20:00","200 Quai de Valmy, 75010 Paris-10E-Arrondissement, France",grentperez
Youn Sun Nah,mar. 6 févr.,L'Avant-Seine / Théâtre de Colombes,"35,84 €",https://dice.fm/event/ova6y-youn-sun-nah-6th-feb-lavant-seine-thtre-de-colombes-paris-tickets,"mar. 6 févr., 20:00","88 Rue Saint-Denis, 92700 Colombes, France",Youn Sun Nah 5tet
Souffrance,mer. 7 févr.,La Cigale,"26,50 €",https://dice.fm/event/7gvv9-souffrance-7th-feb-la-cigale-paris-tickets,"mer. 7 févr., 19:00","120 Boulevard de Rochechouart, 75018 Paris, France",Souffrance
Harsh Symmetry + Crush of Souls,mer. 7 févr.,Supersonic Records,15 €,https://dice.fm/event/oabvy-harsh-symmetry-crush-of-souls-7th-feb-supersonic-records-paris-tickets,"mer. 7 févr., 19:00","9 Rue Biscornet, 75012 Paris, France","Crush of Souls, Harsh Symmetry"
Annie Taylor + Delilah's Dance,mer. 7 févr.,Supersonic,Gratuit,https://dice.fm/event/gq9b6-annie-taylor-delilahs-dance-7th-feb-supersonic-paris-tickets,"mer. 7 févr., 19:00","9 Rue Biscornet, 75012 Paris, France","Fools Affection, Delilah's Dance, Annie Taylor"
Tim Bernardes,mer. 7 févr.,Le Trianon,"29,60 €",https://dice.fm/event/37q6p-tim-bernardes-7th-feb-le-trianon-paris-tickets,"mer. 7 févr., 19:30","80 Boulevard de Rochechouart, 75018 Paris, France",Tim Bernardes
Molécule,mer. 7 févr.,L'Olympia,"À partir de 36,30 €",https://dice.fm/event/p5axk-molcule-7th-feb-lolympia-paris-tickets,"mer. 7 févr., 20:00","28 Boulevard des Capucines, 75009 Paris, France",Molécule
Brutalismus 3000,mer. 7 févr.,Casino de Paris,"À partir de 35,02 €",https://dice.fm/event/n5g59-brutalismus-3000-7th-feb-casino-de-paris-paris-tickets,"mer. 7 févr., 20:00","16 Rue de Clichy, 75009 Paris, France",Brutalismus 3000
LOUVE,mer. 7 févr.,La Boule Noire,16 €,https://dice.fm/event/nd77l-louve-7th-feb-la-boule-noire-paris-tickets,"mer. 7 févr., 20:00","120 Boulevard de Rochechouart, 75018 Paris, France",Louve
NILS HOFFMANN,mer. 7 févr.,Point Ephémère,"20,16 €",https://dice.fm/event/a57v2-nils-hoffmann-7th-feb-point-ephmre-paris-tickets,"mer. 7 févr., 20:00","200 Quai de Valmy, 75010 Paris-10E-Arrondissement, France",Nils Hoffmann
Ric Wilson,mer. 7 févr.,Le Hasard Ludique,"15,71 €",https://dice.fm/event/6a3lq-ric-wilson-7th-feb-le-hasard-ludique-paris-tickets,"mer. 7 févr., 20:00","128 Avenue de Saint-Ouen, 75018 Paris, France","Première partie, Ric Wilson"
Release Party Kcidy,mer. 7 févr.,Petit Bain,15 €,https://dice.fm/event/mg6kr-release-party-kcidy-7th-feb-petit-bain-paris-tickets,"mer. 7 févr., 20:00","7 Port de la Gare, 75013 Paris, France",KCIDY
Sauvan,jeu. 8 févr.,La Cigale,"À partir de 26,48 €",https://dice.fm/event/k9mop-sauvan-8th-feb-la-cigale-paris-tickets,"jeu. 8 févr., 19:00","120 Boulevard de Rochechouart, 75018 Paris, France","Première Partie, Sauvan"
Dave Hause + Will Hoge,jeu. 8 févr.,Supersonic Records,"13,50 €",https://dice.fm/event/od5lg-dave-hause-will-hoge-8th-feb-supersonic-records-paris-tickets,"jeu. 8 févr., 19:00","9 Rue Biscornet, 75012 Paris, France","Will Hoge, Dave Hause"
Meagre Martin + Spaghetti Kiss + Prune 99,jeu. 8 févr.,L'international,8 €,https://dice.fm/event/5p9vw-meagre-martin-spaghetti-kiss-prune-99-8th-feb-linternational-paris-tickets,"jeu. 8 févr., 19:00","5 Rue Moret, 75011 Paris, France",
Miira,jeu. 8 févr.,La Boule Noire,"16,94 €",https://dice.fm/event/b2l6v-miira-8th-feb-la-boule-noire-paris-tickets,"jeu. 8 févr., 19:30","120 Boulevard de Rochechouart, 75018 Paris, France",Miira
Oscar les vacances,jeu. 8 févr.,Le Café de la Danse,"16,50 €",https://dice.fm/event/odrrg-oscar-les-vacances-8th-feb-le-caf-de-la-danse-paris-tickets,"jeu. 8 févr., 19:30","5 Passage Louis-Philippe, 75011 Paris, France",Oscar les vacances
"Adrian Clarck Trio : ""Let’s dance""",jeu. 8 févr.,Péniche Marcounet,"16,48 €",https://dice.fm/event/o7w7m-adrian-clarck-trio-lets-dance-8th-feb-pniche-marcounet-paris-tickets,"jeu. 8 févr., 20:00 UTC+1","Port de l'Hotel de Ville, Paris 75004",
The Big Idea + Wysteria,jeu. 8 févr.,Point Ephémère,"15,68 €",https://dice.fm/event/6ardq-the-big-idea-wysteria-8th-feb-point-ephmre-paris-tickets,"jeu. 8 févr., 20:00","200 Quai de Valmy, 75010 Paris-10E-Arrondissement, France",The Big Idea
Sokuu,jeu. 8 févr.,La Maroquinerie,24 €,https://dice.fm/event/wroex-sokuu-8th-feb-la-maroquinerie-paris-tickets,"jeu. 8 févr., 20:00","23 Rue Boyer, 75020 Paris, France",Sokuu
Elliott Armen,jeu. 8 févr.,Le Hasard Ludique,13 €,https://dice.fm/event/mdew9-elliott-armen-8th-feb-le-hasard-ludique-paris-tickets,"jeu. 8 févr., 20:00","128 Avenue de Saint-Ouen, 75018 Paris, France",Elliott Armen
Gingerella + Chéri Chéri,ven. 9 févr.,Supersonic,Gratuit,https://dice.fm/event/yx9q2-gingerella-chri-chri-9th-feb-supersonic-paris-tickets,"ven. 9 févr., 19:00","9 Rue Biscornet, 75012 Paris, France","Chéri Chéri, Gingerella"
She Past Away et Sad Madona,ven. 9 févr.,La Marbrerie,"28,50 €",https://dice.fm/event/wdbkr-she-past-away-et-sad-madona-9th-feb-la-marbrerie-paris-tickets,"ven. 9 févr., 19:00","21 Rue Alexis Lepere, 93100 Montreuil, France","Sad Madona, She Past Away"
chien noir,mar. 6 févr.,La Cigale,30 €,https://dice.fm/event/pnqly-chien-noir-6th-feb-la-cigale-paris-tickets,"mar. 6 févr., 20:00","120 Boulevard de Rochechouart, 75018 Paris, France",Chien Noir
Grentperez,mar. 6 févr.,Point Ephémère,"17,96 €",https://dice.fm/event/2kggo-grentperez-6th-feb-point-ephmre-paris-tickets,"mar. 6 févr., 20:00","200 Quai de Valmy, 75010 Paris-10E-Arrondissement, France",grentperez
